id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8505,sunny bedroom across prospect park,25326,gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2019-06-23,1,2,85
8700,magnifique suite au n de manhattan  vue cloitres,26394,claude & sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,,0,1,0
9357,midtown piedaterre,30193,tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,2017-08-13,0,1,75
9518,spacious lovely furnished manhattan bedroom,31374,shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,2019-06-15,1,3,311
9657,modern 1 br  nyc  east village,21904,dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,2019-04-19,0,1,67
9668,front roomdouble bed,32294,ssameer or trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2019-06-01,2,3,355
9704,spacious 1 bedroom in luxe building,32045,teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,2019-06-14,1,1,255
9782,loft in williamsburg area w roof,32169,andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,2019-06-15,1,3,284
9783,back roombunk beds,32294,ssameer or trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2019-07-01,2,3,359
10452,large b&b style rooms,35935,angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2019-05-12,0,2,269
10962,lovely room 2 & garden best area legal rental,9744,laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,2019-06-21,1,3,340
11452,clean and quiet in brooklyn,7355,vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,,0,1,365
11708,cute apt in artists home,44145,tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,2019-06-22,1,2,22
11943,country space in the city,45445,harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,,0,1,365
12048,lowereastside apt share shortterm 1,7549,ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,2019-07-05,1,4,188
12192,enjoy downtown nyc,46978,edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2019-06-21,2,2,96
12299,beautiful sunny park slope brooklyn,47610,abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,2019-05-27,0,1,345
12303,1bdr w private bath in lofty apt,47618,yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,2018-09-30,0,1,311
12318,west side retreat,16800,cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,2019-06-16,0,1,273
12343,best bet in harlem,47727,earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,2019-06-13,0,1,309
12627,entire apartment in central brooklyn neighborhood,49670,rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,2019-06-05,0,1,95
12937,1 stop fr manhattan private suitelandmark block,50124,orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2019-07-01,2,1,215
12940,charming brownstone 3  near pratt,50148,adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,2019-05-25,0,1,265
13050,bright and stylish duplex,50846,jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,2017-01-01,0,1,0
13394,fort greene brownstone,52335,alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,2019-06-17,1,2,192
13808,blue room for 2 in brownstone for 1350 monthly,54275,jt and tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,2019-06-16,1,3,251
14287,cozy 1bd on central park west in new york city,56094,joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,2019-07-07,0,1,302
14290,original brooklyn loft,56104,james,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,2019-05-17,0,1,140
14314,greenpoint placehas it all,56246,jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2019-06-29,2,1,234
14322,beautiful apartment in manhattan,56284,francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,2019-03-25,0,1,257
14377,williamsburg 1 bedroom apartment,56512,joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,2019-06-22,0,1,30
14991,great location manhattan bedroom,59023,bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,2019-05-18,0,1,301
15220,best location in nyc times square,59734,luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2019-06-09,2,2,294
15338,room in greenpoint loft w roof,32169,andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,2019-06-04,1,3,320
15341,bright nolita apt w doormanelevatorsgym,60049,ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,2019-06-29,0,1,154
15385,very very cozy place,60252,cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,2019-06-30,0,1,263
15396,sunny & spacious chelsea apartment,60278,petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,2018-11-03,0,1,180
15711,2 bedroom  upper east sidegreat for kids,61491,d,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,2019-03-30,0,2,231
16326,comfortable 4bedroom apt in family house,63588,dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,2019-01-26,1,2,297
16338,double room w private deck clinton hill best area,63613,patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,2017-09-30,0,2,292
16421,your heaven in hells kitchen,63924,mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,2019-05-16,1,1,191
16458,lightfilled 2b duplex in the heart of park slope,64056,sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,2017-09-24,0,1,0
16580,sunny modern room in east village,64442,reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,2019-07-01,4,2,72
16595,haven loft  entire floor  six windows  bricks,64522,daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,2019-06-23,1,1,362
16821,large room in amazing east village apt,4396,casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,2019-06-21,1,2,336
16974,spaha loft enormous and bright,65837,robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,2019-06-23,1,1,215
17037,lovely ev artists home,66035,anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,2018-05-14,0,1,116
17092,cool room in hells kitchen,66243,enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,2019-06-01,0,1,88
17693,harlem new york welcomes you,68428,tye and etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,2019-06-18,1,2,336
17747,blue trim guest house,68599,george,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,2019-06-26,0,1,304
18127,charming east village one bedroom flat,69829,josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,2019-01-02,0,1,224
18152,manhattan room,69942,victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,2019-07-06,1,1,322
18198,little king of queens,70091,justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,2019-05-31,0,1,324
18590,fort greene retreat on the park,71512,blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,2019-06-16,1,1,132
18728,beautiful meatpacking district loft,71876,david and rick,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,2019-05-28,1,1,295
18764,cozy 2 br in williamsburg,72014,lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,2019-04-22,0,4,238
19159,spacious luminous apt upper west nyc,73051,sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,2019-03-23,0,1,209
19169,entire 2 bedroom  large & sunny,73128,jolynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,2019-06-30,0,1,328
19282,sunny spacious top floor haven,73469,gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,2019-06-15,0,1,38
19319,private room great deal at lower east side,44263,ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,2019-04-08,0,1,188
19601,perfect for a family or small group,74303,maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,2016-08-04,0,1,7
19812,2 bedroom williamsburg apt  bedford l stop,74857,starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,2018-08-09,0,1,272
20299,oh glorious spring,62407,edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,2019-06-30,1,1,26
20300,great location for nyc,76627,pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,2016-02-14,0,1,0
20611,cozy bedroom in williamsburg 3 br,72014,lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,2019-06-22,1,4,288
20724,sunny roompvte office in huge loft,961342,augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,2019-05-26,0,1,317
20734,spacious prospect heights apartment,78460,sean & lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,2019-06-27,3,1,207
20755,large parlor room landmark home 1 block to pratt,51038,erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,2019-05-31,0,6,185
20853,2bed brownstone duplex  garden,79070,tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,2019-05-21,0,1,158
20913,charming 1 bed gr8 wburg location,79402,christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,2018-07-22,1,1,0
21293,sunny apartment in artist home,44145,tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,2019-06-18,1,2,9
21456,lightfilled classic central park,42032,dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,2019-07-07,0,1,198
21644,upper manhattan new york,82685,elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,2018-10-09,0,1,365
21794,cozy quiet room 4 dooglers,83257,olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,2019-05-01,0,2,364
22911,the stuydio modern and light filled,87773,shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,2018-10-28,1,2,311
22918,loft bed  near transportation15min to times sq,32294,ssameer or trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,2019-01-03,0,3,219
23135,house on henry 3rd flr suite,11481,annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2019-06-24,2,3,342
23501,monkey retreat manhattan,63318,meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,2012-11-01,0,1,312
23686,2000 sf 3br 2bath west village private  townhouse,93790,ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,2019-05-18,0,2,243
24143,williamsburgsteps to subway private bath&balcony,97219,seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,2019-05-29,3,1,152
24285,beautiful duplex apartment,97797,brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,2018-11-02,0,1,9
25235,large 2 bedroom great for groups,87773,shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,2019-06-28,1,2,137
25406,modern brooklyn apt august sublet,105538,erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,2018-05-26,0,1,222
25696,1800 sq foot in luxury building,107628,dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,2019-06-23,1,1,346
26012,sunny 2story brooklyn townhouse w deck and garden,109589,jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,2017-03-17,0,1,208
26362,times square safe clean and cozy,59734,luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,2019-06-16,3,2,279
26520,cozy room 3 landmark home 1 block to pratt,51038,erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,2019-06-02,0,6,250
26559,beautiful apartment east village,112793,sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,2017-12-11,0,1,164
26785,park slope green guest house,42273,dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,2018-12-30,4,2,192
26933,2 br  2 bath duplex apt with patio east village,72062,bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,2017-08-09,0,4,298
26954,nyc fabulous views manhattans eye,115157,nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,2015-12-02,0,1,260
26969,2 story family home in williamsburg,115307,alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,2019-06-23,3,1,107
27006,comfortable uws 2bd familyfriendly brownstone,115560,stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,2019-04-27,0,1,199
27385,great large 1 br apt  in east village,72062,bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,2019-06-07,1,4,299
27531,eveland private bed & living room w own entrance,118971,evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,2019-05-20,3,3,20
27644,sugar hill rest stop,119510,emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2019-07-01,2,1,318
27659,3 story town house in park slope,119588,vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,2018-12-30,0,2,216
27759,apartment next to central park,119900,sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,2019-06-26,0,1,224
27883,east village sanctuary,120223,jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,2011-12-10,0,1,0
28321,large 1  br in a 3 br brooklyn apt next to q trn,65091,kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,2018-10-05,0,1,324
28396,modern apt with spectacular views,6197784,jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,2011-09-18,0,1,245
28907,garden studio in the upper east sid,124352,lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,2017-08-15,0,1,189
29012,secluded master bedroom in beautiful huge apt,124797,fernando and lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,2017-08-17,0,1,307
29013,b & b room 1,35935,angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2019-05-14,0,2,310
29455,accommodations galore 1,126607,laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,2019-06-20,1,3,213
29628,sunny room in new condo,127608,chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2019-07-03,2,1,278
29683,stylish & sleek apartment near soho,125857,uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,2019-06-25,0,1,209
30031,nyc artists loft with roof deck,129352,sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,2019-05-20,1,1,0
30927,unique & charming small 1br apt les,120335,cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,2019-06-14,0,1,16
31130,most central location,117287,lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,2019-05-26,0,3,234
31555,luminous beautiful west village studio,135619,tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,2019-07-01,0,1,12
31902,sanctuary in east flatbush,137292,sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,2019-01-01,0,1,178
31994,room with en suite bathroom & deck,137814,waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,2019-06-24,3,3,275
32023,flat macdonough,137974,khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2019-06-23,2,2,163
32037,huge private  floor at the waverly,116599,sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,2019-07-01,0,3,365
32100,modern greenpoint brooklyn apt,138579,aliscott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,2017-07-30,0,1,34
32289,sundrenched artsy modernist 1 bdrm duplex,139612,elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,2018-06-11,0,1,280
32331,sunny cobble hill apartment,139874,sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,2016-04-24,0,1,0
32363,fully furnished basement apartment,140025,fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,2011-09-19,0,1,1
32965,flat macdonough garden,137974,khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,2019-06-20,1,2,170
32969,light filled williamsburg apartment,142833,katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,2019-07-02,0,1,188
33009,retreat in williamsburg,143027,ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2019-06-17,2,1,214
33014,nyc zen,143048,paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,2019-06-17,0,1,248
33223,cozy br in wiliamsburg 3 bedroom,72014,lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,2019-06-22,1,4,262
34760,sunny room in old historical brooklyn townhouse,149929,obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29,1,5,280
35526,sun filled classic west village apt,120291,karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,2019-06-22,0,1,307
36121,lg rm in historic prospect heights,62165,michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,2013-05-10,0,1,339
36133,classic artist loft williamsburg,142684,white,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,2019-06-13,1,1,1
36442,great location spacious on prospect park,137432,paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,2018-08-27,0,1,269
36647,private bdrmbathrm new elevator,157798,irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,2017-05-29,0,1,10
36703,sunny clean 1 bdrm in w village,158284,karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,2019-03-31,1,1,312
36934,great location in williamsburg,159370,viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,2018-12-27,0,1,189
38638,light and airy upper east side 1 bdr apartment,92788,sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2019-06-26,1,2,290
38663,luxury brownstone in boerum hill,165789,sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,2018-12-31,0,1,230
39267,central park loft all for you,168417,marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2019-06-08,2,2,164
39282,indiechic share in williamsburg,168525,gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2019-05-28,1,2,53
39593,a room w a manhattan view longer stay,110506,myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,2019-04-12,0,1,126
39704,private large & sunny 1br ww&d,170510,renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2019-06-22,2,2,3
40039,luxurious condo in dubmo with view,171851,henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,2011-04-25,0,1,189
40453,charming & cozy midtown loft any week ends,174025,sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,2016-09-23,0,1,365
41348,spacious garden park slope duplex 6 people max,180083,syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2019-07-06,2,1,0
41513,convenient cozy cheap apt manhattan,181167,lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,2015-11-02,0,1,0
42580,parlor room in victorian townhouse,137814,waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,2019-06-24,3,3,336
42729,house on henry 2nd flr suite,11481,annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,2019-06-18,1,3,342
42882,new york room with a view,185978,newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,2019-06-13,1,1,312
43957,sunny cozy room in brklyn townhouse,177536,tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,2019-06-19,0,1,37
44096,room with a view,190409,waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2019-07-04,2,3,353
44161,lightopenairyrusticmodern loft,193360,young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,2016-07-06,1,1,177
44212,west inn 2  east village,72062,bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,2019-06-23,0,4,310
44221,financial district luxury loft,193722,coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,2019-06-20,1,1,0
44229,brooklyn victorian style suite,181376,carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2019-06-24,2,2,321
44288,your own lovely west village studio,193637,sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,2019-06-01,0,1,246
44506,accommodations galore3 15 guests,126607,laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,2019-05-26,0,3,231
45393,greenwich village stylish apartment,201297,myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,2016-04-20,0,1,225
45542,clean and cozy harlem apartment,202249,campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,2018-12-17,1,1,0
45556,fort greene brooklyn center bedroom,67778,doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,2019-06-30,1,2,0
45910,beautiful queens brownstone  5br,204539,mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,2019-05-12,0,5,365
45936,couldnt be closer to columbia uni,867225,rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,2019-05-14,1,2,233
45940,bright spacious luxury condo,204724,miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,2019-04-08,0,1,1
46544,park slope haven 15 mins from soho,8198,monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,2019-06-05,0,1,18
46723,safe  and beautiful accomodation,209460,marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,2019-05-19,1,4,343
46911,large room in private brownstone in park slope,210746,kathleen r,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,2019-06-24,0,3,250
47199,new york city 1 bdrmnear central park & metro,212722,teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,2019-06-24,1,1,326
47362,large comfy 1bdr wcharacter,214148,robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,2012-09-03,0,1,364
47370,chelsea studio sublet 1  2 months,214287,alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,2015-07-17,0,1,0
47926,lux apt in times square new building,218404,claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,2019-06-26,0,1,299
